COOPERATIVA,MES#,AÑO,ACTIVOS TOTALES,ACTIVOS NETOS,DISPONIBILIDADES,Depositos BCH hn,Depositos Bancos hn,INVERSIONES,Inversiones hn,Inversiones FEC hn,PRESTAMOS,Vigentes hn,Atrasados hn,Vencidos hn,Demanda Judicial hn,CUENTAS X COBRAR,ACTIVOS EVENTUALES,"PROPIEDAD, PLANTA, EQUIPO",CARGOS DIFERIDOS,ACTIVOS DE INVERSION,ACTIVOS INTANGIBLES,PASIVOS TOTALES,EXIGIBILIDADES INMEDIATAS,EXIGIBILIDADES X DEPOSITOS,Depositos Ahorro hn,DPF hn,OTRAS EXIGIBILIDADES,OBLIGACIONES BANCARIAS,CREDITOS DIFERIDOS,PROVISIONES DE VALUACION,PROVISIONES EVENTUALES,PATRIMONIO,PATRIMONIO PRIMARIO,Aportaciones,Reserva,PATRIMONIO COMPLEMENTARIO,PROPIEDAD PLANTA EQUIPO
MARIA CLARET,6,2021,309475249,309475249,30501146,0,25892856,86489311,74877068,8400000,192484792,142916606,48605466,404693,558026,0,0,0,0,0,0,0,0,0,106639358,86015770,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,7,2021,319676296,319676296,21409779,0,17608607,86220229,73734114,8700000,212046288,155913473,55030613,544174,558026,0,0,0,0,0,0,0,0,0,111816161,86104770,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,9,2021,344574098,344574098,29167407,0,24612415,86276377,73734206,8700000,229130314,183979673,43204334,1481917,464388,0,0,0,0,0,0,0,0,0,112512674,96419519,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,10,2021,344574098,344574098,29167407,0,24612415,86276377,73734206,8700000,229130314,183979673,43204334,1481917,464388,0,0,0,0,0,0,0,0,0,112512674,96419519,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,11,2021,350961346,350961346,18498491,0,12719805,90134144,77235239,9050000,242328711,180859508,59556048,1532765,380388,0,0,0,0,0,0,0,0,0,117886723,99540011,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,12,2021,353324836,353324836,18893224,0,12834450,88236378,75302069,9050000,246195234,203624672,41296762,509198,764601,0,0,0,0,0,0,0,0,0,118597082,98589914,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,1,2022,360757415,360757415,26384741,0,21321430,85236516,72302207,9050000,249136158,194667775,53174087,529693,764601,0,0,0,0,0,0,0,0,0,123639883,100624369,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,2,2022,367402597,367402597,34788462,0,29187788,84260541,71302124,9050000,248353594,190202053,56971929,518337,661274,0,0,0,0,0,0,0,0,0,125514282,100667369,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,3,2022,358292792,358292792,25088374,0,19403385,86267312,73308895,9050000,246937106,193647861,51650380,977590,661274,0,0,0,0,0,0,0,0,0,119602800,98217369,0,0,0,0,0,0,0,0,0,0,
MARIA CLARET,4,2022,367845520,367845520,25527751,0,18996749,86243140,73308943,9050000,256074629,212097516,42455551,960286,561274,0,0,0,0,0,0,0,0,0,125562275,98275194,0,0,0,0,0,0,0,0,0,0,
